username,tanggal,review,Label
Zulfan Gaming,10/05/2023,Karena Udaranya yang sangat bersih di bromo,1
Estri Purnami,09/05/2023,Naik jeep dini hari demi melihat sunrise,1
Rangga Lawe,09/05/2023,Seru banget liburan ke sini meskipun udah ber kali kali tetep aja seru,1
Anak Rumah,08/05/2023,Gunung ini sangat cantik dan indah bagi para pecinta alam...very special,1
Cecilia Susana De Ponte Aguiar,07/05/2023,Pengalaman luar biasa melebihi harapan apa pun .. dan imajinasi apa pun,1
Sri Asih,06/05/2023,"Masyaallah indahnya, puas, terpana, ok mantap",1
Kelana Pulau,05/05/2023,"Meskipun tergolong mainstream dan sudah ramai dikunjungi, namun Bromo hampir tidak pernah mengecewakan. Lindungi pernapasan ketika mendaki dan disarankan untuk tidak berlama-lama di area kawah sebab bau belerang cukup menyengat.",1
Miguel Ocaña,04/05/2023,"Pengalamannya luar biasa, naik ke viewpoint di malam hari untuk melihat matahari terbit, bangun pagi, lalu turun dengan mobil ke pangkalan dan memulai pendak …",1
Mas Dedy Ary,04/05/2023,Sejuk,1
Yunia Ardina Safitri,04/05/2023,"Seneng banget akhirnya bisa naik sampe puncak Bromo walaupun tidak mengelilingi kawah Bromo
Awalnya takut karna phobia tinggi, tapi ketakutan dan rasa capeknya itu …",1
Amin Suryo,04/05/2023,Ingin ke Bromo Tengger lagi,1
AW Muhammad,27/04/2023,"Tempat healing daerah jawa timur perlu dicoba...
Keindahan alamnya sangat luar biasa..
Orang orangnya ramah...",1
Evy Yuliana,27/04/2023,Pemandangan yg indah..  orang²  disekitar sangat ramah.,1
Indra Ari,27/04/2023,Bagus,1
Lenny Aricha,27/04/2023,"Pemandangan yg menakjubkan.....alhamdulilah diberikan kesempatan untuk melihat langsing keindahan ciptaan Nya.
Smg kita bs sll terjaga keindahan dan kebersihannya...",1
Ardi Ardyanz,20/04/2023,"Wisata kesini harus punya uang banyak....
Masuk nya mahal biaya sewa mobil mahal... …",0
My love c,20/04/2023,2017 Pernah Ke Gn Bromo Tempatnya Enak Bersih,1
Suwandi Tan,20/04/2023,Udara sejuk dan pemandangan yang sangat i …,1
rizky wahyu haqiqi (qreation),20/04/2023,tempat terbaik yang pernah saya kunjungi,1
andre Simamora,20/04/2023,Bagus gunung Bromo,1
Kenny Lambert,20/04/2023,"Gunung Bromo terkenal sebagai objek wisata utama di Jawa Timur. Sebagai sebuah objek wisata, Bromo menjadi menarik karena statusnya sebagai gunung berapi yang masih aktif. Gunung Bromo termasuk dalam kawasan Taman Nasional Bromo Tengger …",1
Nendi Mulyadi,13/04/2023,"Tempat wisata yg paling indah
Sejuk alam nya
Ramah ramah penduduknya",1
Nathalie B,13/04/2023,"Luhur. untuk melihat. Pendakian ke gunung berapi itu mudah, pertunjukannya luar biasa di tepi …",1
Team Sultan,13/04/2023,spot view sunrise paling ok.,1
muhammadrestu gen's,13/04/2023,keren,1
MOH AGUSTIN_X1 APH2,13/04/2023,Enak,1
ตามสไตล์ JaiSabai,13/04/2023,"Pukul 04.00 di titik pandang matahari terbit, terjadi banyak hujan dan kabut. Rindu melihat matahari terbit Namun dia tidak menahan diri untuk tidak mencoba melihat ke depan hingga kabut menghilang.Hampir jam 9 pagi, langit kembali …",0
Fariz Abdurahman Fakhri,11/04/2023,bagus & indah,1
Muhammad Aldino,11/04/2023,Pertama kali saya ke Gunung Bromo saat saya masih kecil untuk pergi berlibur bersama keluarga. Saat itu saya baru menyadari kalau Ibu saya ternyata bisa menaiki kuda dan memboncengi saya yang masih kecil. …,1
Imron Ayubi (Yubi),11/04/2023,"Beberapa kali ke bromo, tempatnya masih tetap menyenangkan.
Dingin nya ruar biasa. Perjalanan malam hari, naik motor.",1
yus p,11/04/2023,Wisata Alam kita bisa melihat sun rise,1
Afek sari istanto,11/04/2023,Tempat pertama yg saya kunjungi. Tempat wisata ini amazing gaes.,1
Adhi Kautsar97,11/04/2023,"Hati hati dengan bau belerang disekitar kawah Bromo, tetap memakai masker",0
Keyla Meaza,11/04/2023,Ini tempat bgs bgttt,1
Sri Mulyani,11/04/2023,Pemandangan yg sangat indah. Seperti lukisan,1
Brandal Berdasi,11/04/2023,"Tidak ada kata bosan jika berkunjung ke Bromo,, karena keindahannya yg sangat menakjubkan yg di ciptakan oleh sang pencipta..",1
Thamrin Schulz,11/04/2023,"Saya bergidik ketika mengingat kunjungan pertama saya ketika saya masih muda, menaiki tangga ke tepi kawah bersama ayah saya. Malam itu gelap gulita dan angin meniupkan asap belerang ke wajah kami, membuatku merasa tercekik. Kali ini, p …",0
Joko Prasetyo,11/04/2023,Sungguh indah & menakjubkan,1
Karnael Elisandria,11/04/2023,Gunung Bromo keren banget,1
Lismardiana,11/04/2023,"Sayangnya sudah terlalu sore kesini,jadi tidak naik ke atas",0
Andy Bro,11/04/2023,100% Gw Jatuh Cinta,1
Rida Nurrohmah Dwi Putri,11/04/2023,Indah bgttt! Recomended for comeback!!,1
Asep Rosdiana,11/04/2023,Bagus banget,1
Ahmad Muttaqin,11/04/2023,"Ada tiga tipe letusan gunung berapi. Strato, perisai, dan maar. Tipe letusan Gunung Bromo adalah letusan maar, sesuatu yang sangat jarang terjadi di Kepulauan Indonesia. Saya memandang Gunung Bromo berlama-lama tidak juga jengah. Salah satu bukti kekuasaan Yang Maha Indah.",1
Ronny Schuh,11/04/2023,Unik...,1
Imanu Dprasetya,11/04/2023,Keren....,1
Irfan Haris,11/04/2023,"Pemandangannya sangat indah, parkiran jeep terletak agak jauh dari tempat mendaki, untuk menuju gunung bromo dari parkiran jeep sekitar 1 jam, ada juga yang menyewakan kuda agar tidak terlalu capek saat akan mendaki menuju kawah, jalan menuju ke kawah banyak tersedia warung dan tempat untuk istirahat",1
Onez,11/04/2023,Sensasi alamnya penuh pesona memanjakan mata dan tak ingin lepas dari cengkeraman dinginnya angin pegunungan. The best lah viewnya 😍😍 …,1
hendri mulyadi,11/04/2023,Gunung Bromo ini sangat istimewa sekali,1
yudha satya,11/04/2023,"Sudah 2x pergi ke gunung Bromo pertama kalinya tahun 2014 akhir dengan teman kuliah, naik motor bawa baju seadanya berangkat malam ingin lihat sunset sampai pagi tidak menginap Rasanya badan capek semua, yang kedua kali tahun 2022 dengan …",1
Ade Mulyana Rosyadi,11/04/2023,"Buat para traveling banyak obyek wisata yg bagus di sekitar Obyek wisata Bromo..
Top pokoknya",1
Yudi Andi Prasetyo,11/04/2023,Terlalu indah untuk di jelajahi,1
Creator Artdani,11/04/2023,Jangan lupa bawa jaket yang tebal bagi yang tidak kuat hawa dingin dan terpaan angin gunung,0
Marjuki,11/04/2023,Tempat yang istimewa walaupun harus merogoh kocek lebih karena harus sewa jep.. kalaupun pakai motor disarankan pas musih hujan agar motor bisa berjalan di lautan pasir,0
gusti maulana,11/04/2023,Gunung terindah yang ada di jawa timur tepatnya di kabupaten probolinggo,1
Shafa Respati,11/04/2023,"pengalaman kesini seruuu, jangan lupa perlengkapan obat obatan, harus dengan badan yang vit. apalagi naik jeep",1
yuni w2w,11/04/2023,Seru sekali tetapi tidak sedingin dibanding saat pertama kesana,1
Seungjoon Park (박승준),11/04/2023,"Tempat yang harus Anda kunjungi sebelum Anda mati.
Matahar …",1
Al Ihsan A. Firdaus,11/04/2023,Keren banget viewnya,1
Aqsa Rigianto,11/04/2023,Pemandangan yang keren.. Salah satu destinasi wisata terbaik di indonesia.. Banyak warung jajanan sambil menunggu sunset,1
Orea Photo,12/03/2023,Bagus nih buat prewed. Apalagi orang Surabaya yang mau healing. Salam buat mas Sandy dengan mobil jeep biru nya. Hahahaha,1
